iter	phi	mu	r	Density	Potential
0	0	0.0625	512000	2600	-478106
0	0	0.0625	520000	2600	-476128
0	0	0.0625	528000	2600	-474072
0	0	0.0625	536000	2600	-472031
0	0	0.0625	544000	2600	-469914
0	0	0.0625	552000	2600	-467813
0	0	0.0625	560000	2600	-465639
0	0	0.0625	568000	2600	-463479
0	0	0.0625	576000	2600	-461239
0	0	0.0625	584000	2600	-459015
0	0	0.0625	592000	2600	-456709
0	0	0.0625	600000	2600	-454417
0	0	0.0625	608000	2600	-452046
0	0	0.0625	616000	2600	-449690
0	0	0.0625	624000	2600	-447259
0	0	0.0625	632000	2600	-444844
0	0	0.0625	640000	2600	-442353
0	0	0.0625	648000	2600	-439879
0	0	0.0625	656000	2600	-437332
0	0	0.0625	664000	2600	-434800
0	0	0.0625	672000	2600	-432194
0	0	0.0625	680000	2600	-429605
0	0	0.0625	688000	2600	-426937
0	0	0.0625	696000	2600	-424284
0	0	0.0625	704000	2600	-421552
0	0	0.0625	712000	2600	-418835
0	0	0.0625	720000	2600	-416035
0	0	0.0625	728000	2600	-413250
0	0	0.0625	736000	2600	-410383
0	0	0.0625	744000	2600	-407529
0	0	0.0625	752000	2600	-404594
0	0	0.0625	760000	2600	-401672
0	0	0.0625	768000	2600	-398674
0	0	0.0625	776000	2600	-395692
0	0	0.0625	784000	2600	-392631
0	0	0.0625	792000	2600	-389586
0	0	0.0625	800000	2600	-386471
0	0	0.0625	808000	2600	-383373
0	0	0.0625	816000	2600	-380204
0	0	0.0625	824000	2600	-377050
0	0	0.0625	832000	2600	-373827
0	0	0.0625	840000	2600	-370622
0	0	0.0625	848000	2600	-367348
0	0	0.0625	856000	2600	-364092
0	0	0.0625	864000	2600	-360763
0	0	0.0625	872000	2600	-357449
0	0	0.0625	880000	2600	-354049
0	0	0.0625	888000	2600	-350659
0	0	0.0625	896000	2600	-347181
0	0	0.0625	904000	2600	-343714
0	0	0.0625	912000	2600	-340161
0	0	0.0625	920000	2600	-336621
0	0	0.0625	928000	2600	-332999
0	0	0.0625	936000	2600	-329388
0	0	0.0625	944000	2600	-325697
0	0	0.0625	952000	2600	-322027
0	0	0.0625	960000	0	-318341
0	0	0.0625	968000	0	-314754
0	0	0.0625	976000	0	-311264
0	0	0.0625	984000	0	-307866
0	0	0.0625	992000	0	-304555
0	0	0.0625	1e+06	0	-301328
0	0	0.0625	1.008e+06	0	-298182
0	0	0.0625	1.016e+06	0	-295112
0	0	0.0625	1.024e+06	0	-292115
0	0	0.09375	0	2600	-541661
0	0	0.09375	8000	2600	-541669
0	0	0.09375	16000	2600	-541599
0	0	0.09375	24000	2600	-541544
0	0	0.09375	32000	2600	-541411
0	0	0.09375	40000	2600	-541294
0	0	0.09375	48000	2600	-541099
0	0	0.09375	56000	2600	-540919
0	0	0.09375	64000	2600	-540662
0	0	0.09375	72000	2600	-540420
0	0	0.09375	80000	2600	-540100
0	0	0.09375	88000	2600	-539795
0	0	0.09375	96000	2600	-539413
0	0	0.09375	104000	2600	-539046
0	0	0.09375	112000	2600	-538601
0	0	0.09375	120000	2600	-538171
0	0	0.09375	128000	2600	-537664
0	0	0.09375	136000	2600	-537172
0	0	0.09375	144000	2600	-536603
0	0	0.09375	152000	2600	-536048
0	0	0.09375	160000	2600	-535416
0	0	0.09375	168000	2600	-534799
0	0	0.09375	176000	2600	-534105
0	0	0.09375	184000	2600	-533426
0	0	0.09375	192000	2600	-532669
0	0	0.09375	200000	2600	-531927
0	0	0.09375	208000	2600	-531108
0	0	0.09375	216000	2600	-530303
0	0	0.09375	224000	2600	-529422
0	0	0.09375	232000	2600	-528555
0	0	0.09375	240000	2600	-527611
0	0	0.09375	248000	2600	-526682
0	0	0.09375	256000	2600	-525675
0	0	0.09375	264000	2600	-524684
0	0	0.09375	272000	2600	-523615
0	0	0.09375	280000	2600	-522561
0	0	0.09375	288000	2600	-521430
0	0	0.09375	296000	2600	-520314
0	0	0.09375	304000	2600	-519120
0	0	0.09375	312000	2600	-517942
0	0	0.09375	320000	2600	-516685
0	0	0.09375	328000	2600	-515444
0	0	0.09375	336000	2600	-514126
0	0	0.09375	344000	2600	-512823
0	0	0.09375	352000	2600	-511442
0	0	0.09375	360000	2600	-510076
0	0	0.09375	368000	2600	-508632
0	0	0.09375	376000	2600	-507204
0	0	0.09375	384000	2600	-505699
0	0	0.09375	392000	2600	-504208
0	0	0.09375	400000	2600	-502640
0	0	0.09375	408000	2600	-501087
0	0	0.09375	416000	2600	-499457
0	0	0.09375	424000	2600	-497842
0	0	0.09375	432000	2600	-496149
0	0	0.09375	440000	2600	-494471
0	0	0.09375	448000	2600	-492716
0	0	0.09375	456000	2600	-490976
0	0	0.09375	464000	2600	-489159
0	0	0.09375	472000	2600	-487357
0	0	0.09375	480000	2600	-485477
0	0	0.09375	488000	2600	-483612
0	0	0.09375	496000	2600	-481670
0	0	0.09375	504000	2600	-479743
0	0	0.09375	512000	2600	-477738
0	0	0.09375	520000	2600	-475749
0	0	0.09375	528000	2600	-473682
0	0	0.09375	536000	2600	-471631
0	0	0.09375	544000	2600	-469502
0	0	0.09375	552000	2600	-467387
0	0	0.09375	560000	2600	-465195
0	0	0.09375	568000	2600	-463018
0	0	0.09375	576000	2600	-460763
0	0	0.09375	584000	2600	-458523
0	0	0.09375	592000	2600	-456207
0	0	0.09375	600000	2600	-453905
0	0	0.09375	608000	2600	-451527
0	0	0.09375	616000	2600	-449165
0	0	0.09375	624000	2600	-446725
0	0	0.09375	632000	2600	-444301
0	0	0.09375	640000	2600	-441799
0	0	0.09375	648000	2600	-439312
0	0	0.09375	656000	2600	-436746
0	0	0.09375	664000	2600	-434195
0	0	0.09375	672000	2600	-431566
0	0	0.09375	680000	2600	-428952
0	0	0.09375	688000	2600	-426258
0	0	0.09375	696000	2600	-423580
0	0	0.09375	704000	2600	-420823
0	0	0.09375	712000	2600	-418081
0	0	0.09375	720000	2600	-415262
0	0	0.09375	728000	2600	-412458
0	0	0.09375	736000	2600	-409577
0	0	0.09375	744000	2600	-406712
0	0	0.09375	752000	2600	-403770
0	0	0.09375	760000	2600	-400845
0	0	0.09375	768000	2600	-397844
0	0	0.09375	776000	2600	-394859
0	0	0.09375	784000	2600	-391797
0	0	0.09375	792000	2600	-388750
0	0	0.09375	800000	2600	-385631
0	0	0.09375	808000	2600	-382527
0	0	0.09375	816000	2600	-379344
0	0	0.09375	824000	2600	-376175
0	0	0.09375	832000	2600	-372927
0	0	0.09375	840000	2600	-369694
0	0	0.09375	848000	2600	-366383
0	0	0.09375	856000	2600	-363088
0	0	0.09375	864000	2600	-359711
0	0	0.09375	872000	2600	-356346
0	0	0.09375	880000	2600	-352897
0	0	0.09375	888000	2600	-349457
0	0	0.09375	896000	2600	-345934
0	0	0.09375	904000	2600	-342424
0	0	0.09375	912000	2600	-338844
0	0	0.09375	920000	2600	-335285
0	0	0.09375	928000	2600	-331666
0	0	0.09375	936000	2600	-328068
0	0	0.09375	944000	2600	-324420
0	0	0.09375	952000	0	-320803
0	0	0.09375	960000	0	-317186
0	0	0.09375	968000	0	-313665
0	0	0.09375	976000	0	-310234
0	0	0.09375	984000	0	-306892
0	0	0.09375	992000	0	-303632
0	0	0.09375	1e+06	0	-300453
0	0	0.09375	1.008e+06	0	-297350
0	0	0.09375	1.016e+06	0	-294320
0	0	0.09375	1.024e+06	0	-291362
0	0	0.125	0	2600	-541661
0	0	0.125	8000	2600	-541668
0	0	0.125	16000	2600	-541598
0	0	0.125	24000	2600	-541543
0	0	0.125	32000	2600	-541409
0	0	0.125	40000	2600	-541291
0	0	0.125	48000	2600	-541094
0	0	0.125	56000	2600	-540913
0	0	0.125	64000	2600	-540654
0	0	0.125	72000	2600	-540409
0	0	0.125	80000	2600	-540087
0	0	0.125	88000	2600	-539779
0	0	0.125	96000	2600	-539394
0	0	0.125	104000	2600	-539024
0	0	0.125	112000	2600	-538576
0	0	0.125	120000	2600	-538142
0	0	0.125	128000	2600	-537631
0	0	0.125	136000	2600	-537135
0	0	0.125	144000	2600	-536561
0	0	0.125	152000	2600	-536002
0	0	0.125	160000	2600	-535365
0	0	0.125	168000	2600	-534743
0	0	0.125	176000	2600	-534043
0	0	0.125	184000	2600	-533358
0	0	0.125	192000	2600	-532595
0	0	0.125	200000	2600	-531847
0	0	0.125	208000	2600	-531021
0	0	0.125	216000	2600	-530210
0	0	0.125	224000	2600	-529321
0	0	0.125	232000	2600	-528447
0	0	0.125	240000	2600	-527496
0	0	0.125	248000	2600	-526559
0	0	0.125	256000	2600	-525544
0	0	0.125	264000	2600	-524544
0	0	0.125	272000	2600	-523467
